username,rejected,email,nickname,created,study,study_name,question14_item1,prolific_id,prolific_reminder,question1,Q_res_1,Q_res_2,Q_res_3,Q_hum_1,Q_hum_2,Q_hum_3,Q_ani_1,Q_ani_2,Q_ani_3,Q_lif_1,Q_lif_2,Q_lif_3,Q_dee_1,Q_dee_2,Q_dee_3,rt_general info,rt_demographics,rt_intro_to_mem_qs,"rt_Restoring a Coral Reef, memory questions","rt_Hummingbird, memory questions","rt_Animal Encounter, memory questions","rt_Life of a Tree, memory questions","rt_Restoring a Coral Reef, memory questions",survey_page_changed_to_general info,duration_seconds,duration_readable,user_at_start,PROLIFIC_PID,STUDY_ID,SESSION_ID,study_url,textxr_participant_id,textxr_uuid,order_general info,survey_page_changed_to_demographics,order_demographics,survey_page_changed_to_intro_to_mem_qs,order_intro_to_mem_qs,survey_page_changed_to_demographics_1,rt_demographics_1,survey_page_changed_to_intro_to_mem_qs_1,rt_intro_to_mem_qs_1,"survey_page_changed_to_Restoring a Coral Reef, memory questions","order_Restoring a Coral Reef, memory questions","survey_page_changed_to_Hummingbird, memory questions","order_Hummingbird, memory questions","survey_page_changed_to_Animal Encounter, memory questions","order_Animal Encounter, memory questions","survey_page_changed_to_Life of a Tree, memory questions","order_Life of a Tree, memory questions","survey_page_changed_to_Restoring a Coral Reef, memory questions_1",internal_id,"rt_Restoring a Coral Reef, memory questions_1","survey_page_changed_to_Hummingbird, memory questions_1","rt_Hummingbird, memory questions_1","survey_page_changed_to_Restoring a Coral Reef, memory questions_1_2","rt_Restoring a Coral Reef, memory questions_1_2",rt_general info_1,pageNumber,order_general info_1,order_demographics_1,survey_page_changed_to_intro_to_mem_qs_1_2,rt_intro_to_mem_qs_1_2,"survey_page_changed_to_Restoring a Coral Reef, memory questions_1_2_3","rt_Restoring a Coral Reef, memory questions_1_2_3","survey_page_changed_to_Life of a Tree, memory questions_1","rt_Life of a Tree, memory questions_1","survey_page_changed_to_Animal Encounter, memory questions_1","rt_Animal Encounter, memory questions_1",survey_page_changed_to_demographics_1_2,rt_demographics_1_2,testxr_participant_id,testxr_uuid,survey_page_changed_to_general info_1,rt_general info_1_2,survey_page_changed_to_demographics_1_2_3,rt_demographics_1_2_3
﻿,0,,,2023-06-22 09:29:29.132360,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,5ae9f13b9b283d00017ee04d,,,-3,1,1,1,1,-1,-3,-1,,1,-1,1,1,-1,-1,16,1,2,16,13,11,10,16,,85,1m:25s,AnonymousUser,5ae9f13b9b283d00017ee04d,647e17c51e8a3d081bc279dc,649406509d765b9dc31a3114,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=5ae9f13b9b283d00017ee04d&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=649406509d765b9dc31a3114,None,0829ceb6-9c80-4a3b-bccc-b247c58d5ad3,1,16,2,17,3,19,8,27,2,29,4,45,5,58,6,69,7,79,18066,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:33:54.542071,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,60f193bde43a6e86c505ac94,,,1,-2,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,12,7,6,21,,22,19,21,,125,2m:5s,AnonymousUser,60f193bde43a6e86c505ac94,647e1923e8479d52e088a84c,6494075cf7747a49f5bed0aa,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=60f193bde43a6e86c505ac94&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=6494075cf7747a49f5bed0aa,None,94b33723-9010-435e-aaa5-c830fe0e9ad6,1,12,2,19,3,,,,,44,5,104,,82,6,25,4,65,18067,17,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:34:41.580041,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,5e53b11bab51633aa169d18d,,,1,-1,1,1,1,1,1,-2,-2,1,-1,1,1,-2,-3,6,7,3,50,43,34,25,50,,197,3m:17s,AnonymousUser,5e53b11bab51633aa169d18d,647e16b65f06df7a3ddcb304,6494078b64c7467ea81a3108,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=5e53b11bab51633aa169d18d&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=6494078b64c7467ea81a3108,None,b060eb36-b406-42ce-8c61-fad863d057fd,1,6,2,13,3,,,,,16,4,125,7,66,5,100,6,169,18069,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:42:53.738505,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,5f32bb8f930a0e03028d5d80,,,-2,-3,1,1,1,1,1,1,1,1,-2,1,1,-2,1,9,9,9,3,35,53,42,3,,273,4m:33s,AnonymousUser,5f32bb8f930a0e03028d5d80,647e17c51e8a3d081bc279dc,649409638c2143f23822e1b5,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=5f32bb8f930a0e03028d5d80&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=649409638c2143f23822e1b5,None,53f5d704-2cb0-49f5-b425-01cd573bd897,1,9,2,18,3,,,,,157,7,122,6,27,4,80,5,172,18080,43,160,12,215,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:43:05.985927,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,60af3b56c4f0e088eef4a666,,,1,-3,1,-1,1,-3,1,1,1,-2,1,-1,-2,-2,-1,19,16,16,78,57,,47,78,,347,5m:47s,AnonymousUser,60af3b56c4f0e088eef4a666,647e1923e8479d52e088a84c,64940975e90dd4efa49b76e2,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=60af3b56c4f0e088eef4a666&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64940975e90dd4efa49b76e2,None,b84f6d49-9c42-401b-8b7a-65a0ec2982e3,1,19,2,35,3,,,129,4,51,4,243,6,300,,141,5,133,18081,8,,,188,55,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:43:42.292262,2ac09aa3-948d-481f-9777-8a3d46f77046,instagram_1month_BBC__underserved_ar,1,60ee169032f6e0601e4c2f71,,,-3,1,1,1,1,-2,1,1,1,1,-3,1,-2,1,-3,8,4,2,32,17,,27,32,12,160,2m:40s,AnonymousUser,60ee169032f6e0601e4c2f71,647e16b65f06df7a3ddcb304,649409ad14caf3c9945b8a2b,https://testxr.org/projects/survey/prolific/2ac09aa3-948d-481f-9777-8a3d46f77046/?PROLIFIC_PID=60ee169032f6e0601e4c2f71&STUDY_ID=647e16b65f06df7a3ddcb304&SESSION_ID=649409ad14caf3c9945b8a2b,None,90017666-cef0-4e70-bb78-7937f833334e,1,8,2,38,3,31,7,,,67,5,99,6,129,,40,4,116,18082,13,,,,,19,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:46:16.479844,bf7dd5a7-0069-480b-8996-c8adef714521,instagram_1month_BBC__ar,1,5835e18fa708570001a8b0f4,,,-3,-2,-1,1,1,1,1,1,1,-2,1,-1,-1,-2,-3,11,6,3,24,18,23,,24,,126,2m:6s,AnonymousUser,5835e18fa708570001a8b0f4,647e17c51e8a3d081bc279dc,64940a4595ea1b582eae7819,https://testxr.org/projects/survey/prolific/bf7dd5a7-0069-480b-8996-c8adef714521/?PROLIFIC_PID=5835e18fa708570001a8b0f4&STUDY_ID=647e17c51e8a3d081bc279dc&SESSION_ID=64940a4595ea1b582eae7819,None,416cd92a-5268-4b37-be76-8f8af6610445,1,11,2,17,3,,,,,43,5,67,6,20,4,105,,85,18084,19,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:48:25.187463,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,5efc9190d8b4ba050a97f67d,,,1,-2,1,-1,-2,1,1,1,1,-2,1,1,-1,-1,-1,8,4,2,23,16,21,21,23,,114,1m:54s,AnonymousUser,5efc9190d8b4ba050a97f67d,647e1923e8479d52e088a84c,64940ac7b4c692a17bc6d9ea,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=5efc9190d8b4ba050a97f67d&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64940ac7b4c692a17bc6d9ea,None,af39f87b-3fa8-4ac9-a85f-ddae72f2f176,1,8,2,12,3,,,,,72,7,56,6,14,4,35,5,96,18085,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:50:47.507964,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,5fd8c059856120277dec48ef,,,-2,1,-1,1,1,-1,1,1,1,1,1,1,-3,-2,-2,74,15,11,36,,31,23,36,,254,4m:14s,AnonymousUser,5fd8c059856120277dec48ef,647e1923e8479d52e088a84c,64940aa68fe7da1a40b0ed51,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=5fd8c059856120277dec48ef&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64940aa68fe7da1a40b0ed51,None,8bbde7fb-ecba-4149-bad1-692b34f47626,1,74,2,89,3,,,,,100,4,229,,198,6,175,5,136,18086,39,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-22 09:51:57.854197,e03f3a20-7337-42ef-b403-c7205f71d6f5,instagram_1month_BBC__flat,1,,,,-3,1,-1,-1,1,1,1,1,-1,-2,1,1,-2,1,-1,4,9,10,54,28,,13,54,,193,3m:13s,AnonymousUser,5efc7dad191f66024d26cd86,647e1923e8479d52e088a84c,64940b9b39d20d72082d4ce8,https://testxr.org/projects/survey/prolific/e03f3a20-7337-42ef-b403-c7205f71d6f5/?PROLIFIC_PID=5efc7dad191f66024d26cd86&STUDY_ID=647e1923e8479d52e088a84c&SESSION_ID=64940b9b39d20d72082d4ce8,None,175c3497-bb5b-47d1-a0f9-bd8592e8e53c,1,4,2,13,3,,,,,23,4,127,6,155,,114,5,77,18087,37,,,,,,,,,,,,,,,,,,,,,,,,
