username,rejected,email,nickname,created,study,study_name,question14_item1,prolific_id,prolific_reminder,question1,Q_el_1,Q_el_2,Q_el_3,Q_ay_1,Q_ay_2,Q_ay_3,Q_sp_1,Q_sp_2,Q_sp_3,Q_dd_1,Q_dd_2,Q_dd_3,Q_ss_1,Q_ss_2,Q_ss_3,rt_general info,rt_demographics,rt_intro_to_mem_qs,"rt_Filter my world, memory questions","rt_Filter about Artify Yourself, memory questions","rt_Filter about a Shadow Puppet Show, memory questions","rt_Filter about a Dance with Durga, memory questions",rt_Filter about Stories for Stitches,survey_page_changed_to_general info,duration_seconds,duration_readable,user_at_start,PROLIFIC_PID,STUDY_ID,SESSION_ID,study_url,textxr_participant_id,textxr_uuid,order_general info,survey_page_changed_to_demographics,order_demographics,survey_page_changed_to_intro_to_mem_qs,order_intro_to_mem_qs,survey_page_changed_to_Filter about Stories for Stitches,order_Filter about Stories for Stitches,"survey_page_changed_to_Filter my world, memory questions","order_Filter my world, memory questions","survey_page_changed_to_Filter about a Dance with Durga, memory questions","order_Filter about a Dance with Durga, memory questions","survey_page_changed_to_Filter about Artify Yourself, memory questions","order_Filter about Artify Yourself, memory questions","survey_page_changed_to_Filter about a Shadow Puppet Show, memory questions",internal_id,"order_Filter about a Shadow Puppet Show, memory questions",survey_page_changed_to_intro_to_mem_qs_1,rt_intro_to_mem_qs_1,survey_page_changed_to_Filter about Stories for Stitches_1,rt_Filter about Stories for Stitches_1,survey_page_changed_to_demographics_1,rt_demographics_1,survey_page_changed_to_intro_to_mem_qs_1_2,rt_intro_to_mem_qs_1_2,pageNumber,rt_general info_1,order_general info_1,"survey_page_changed_to_Filter my world, memory questions_1","rt_Filter my world, memory questions_1","survey_page_changed_to_Filter about a Dance with Durga, memory questions_1",Q_dd_1-Comment,survey_page_changed_to_demographics_1_2,rt_demographics_1_2,order_demographics_1,order_intro_to_mem_qs_1,survey_page_changed_to_intro_to_mem_qs_1_2_3,survey_page_changed_to_demographics_1_2_3,survey_page_changed_to_demographics_1_2_3_4,rt_demographics_1_2_3,survey_page_changed_to_intro_to_mem_qs_1_2_3_4,rt_intro_to_mem_qs_1_2_3,survey_page_changed_to_Filter about Stories for Stitches_1_2,rt_Filter about Stories for Stitches_1_2,"survey_page_changed_to_Filter about Artify Yourself, memory questions_1","rt_Filter about Artify Yourself, memory questions_1","rt_Filter about a Dance with Durga, memory questions_1","survey_page_changed_to_Filter about a Shadow Puppet Show, memory questions_1","rt_Filter about a Shadow Puppet Show, memory questions_1","survey_page_changed_to_Filter about a Dance with Durga, memory questions_1_2","rt_Filter about a Dance with Durga, memory questions_1_2",testxr_participant_id,testxr_uuid
﻿,0,,,2023-06-14 12:27:56.087593,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,63bda084d8fb45c4034770b5,,,-1,-3,-2,1,-3,1,-1,1,-1,-2,-1,-2,-3,-3,-1,20,9,6,17,22,,33,18,,146,2m:26s,AnonymousUser,63bda084d8fb45c4034770b5,647e14799b46b0e21c3c5ce1,6489a416e9db1e80c0eed7fe,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=63bda084d8fb45c4034770b5&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a416e9db1e80c0eed7fe,None,8d31f6a5-bce7-4038-b7a5-7d9a22396462,1,20,2,29,3,35,4,53,5,70,6,103,7,125,17280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:28:41.799442,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,604a4755d62e5590404b5426,,,-1,,-1,-2,-1,-2,,1,1,-1,1,-1,1,-3,1,24,24,3,15,23,,40,25,,174,2m:54s,AnonymousUser,604a4755d62e5590404b5426,647e14799b46b0e21c3c5ce1,6489a44615850c3a19642de4,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=604a4755d62e5590404b5426&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a44615850c3a19642de4,None,a5d7ada3-5375-47ee-92b4-895f6aca1525,1,24,2,48,3,51,4,76,5,114,7,91,6,154,17281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:30:05.418554,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,62e16e79326aa8ba7e6edeaf,,,1,-1,-2,-3,-1,-2,-1,1,1,1,1,1,-2,-2,1,27,11,6,91,36,,93,18,,383,6m:23s,AnonymousUser,62e16e79326aa8ba7e6edeaf,647e14799b46b0e21c3c5ce1,6489a4860f5d2eba109042e2,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=62e16e79326aa8ba7e6edeaf&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a4860f5d2eba109042e2,None,501b4de0-7150-4df6-9605-07b75cf031cf,1,27,2,38,3,44,4,192,7,99,6,62,5,283,17282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:30:14.427789,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5fa5465e9b7bd322fa6ec5b6,,,1,-1,-1,1,-3,,1,1,1,1,1,-2,-1,-2,-1,12,21,8,15,20,,14,19,,125,2m:5s,AnonymousUser,5fa5465e9b7bd322fa6ec5b6,647e14799b46b0e21c3c5ce1,6489a4a165f3c65de7fc3ba6,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5fa5465e9b7bd322fa6ec5b6&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a4a165f3c65de7fc3ba6,None,2015b66a-505a-4589-9959-cc9fcc88205f,1,12,2,33,3,41,4,95,7,60,5,75,6,110,17283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:30:15.723141,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,610ba21888a1a943ce9c7a0d,,,1,-1,1,-3,1,-1,1,1,1,1,-3,-2,-2,-1,-3,81,17,8,,38,28,77,30,,329,5m:29s,AnonymousUser,610ba21888a1a943ce9c7a0d,647e14799b46b0e21c3c5ce1,6489a46e954f457c7b126b30,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=610ba21888a1a943ce9c7a0d&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a46e954f457c7b126b30,None,c8f6d4bd-8cf0-4c2b-85fe-d9b99c5b3cc7,1,81,2,98,3,106,4,279,,202,7,136,5,174,17284,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:31:43.892020,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,64401b8dc61551f15637634b,,,1,1,-1,-3,-3,-2,-3,1,-1,1,1,-2,1,-1,-3,40,27,7,20,23,,39,32,,219,3m:39s,AnonymousUser,64401b8dc61551f15637634b,647e14799b46b0e21c3c5ce1,6489a4ed1a6595460cab8acb,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=64401b8dc61551f15637634b&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a4ed1a6595460cab8acb,None,2de4106c-fd3a-4ffc-9171-0f3a5c67edd2,1,40,2,67,3,74,4,129,6,149,7,106,5,188,17285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:31:57.645010,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,643918b7df602a9f3f3f66d7,,,1,1,-2,1,-3,-1,-1,1,-2,1,-3,-1,-2,-3,-1,20,14,8,37,30,,45,37,,222,3m:42s,AnonymousUser,643918b7df602a9f3f3f66d7,647e14799b46b0e21c3c5ce1,6489a50d98f1eb82f0642dee,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=643918b7df602a9f3f3f66d7&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a50d98f1eb82f0642dee,None,3a5f0411-0743-4990-8b9e-ca8d0351ccbc,1,20,2,34,3,43,4,80,5,117,6,162,7,192,17286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:32:18.394661,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5f56268bff7e03a1800a3a2f,,,1,-1,-3,-2,1,1,-1,-1,-2,1,-3,-1,1,-1,-3,5,5,2,12,16,16,,9,,87,1m:27s,AnonymousUser,5f56268bff7e03a1800a3a2f,647e14799b46b0e21c3c5ce1,6489a52905a71650b06b9e08,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5f56268bff7e03a1800a3a2f&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a52905a71650b06b9e08,None,8510e54e-4c9a-4dea-81eb-82aaf6330644,1,5,2,10,3,12,4,34,5,78,,46,6,62,17287,7,21,3,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:32:34.892206,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5faac85e364c744c43a54ec5,,,1,-1,-3,-2,-3,1,-3,1,-1,1,1,-2,-2,1,-1,18,13,1,116,,118,75,77,,590,9m:50s,AnonymousUser,5faac85e364c744c43a54ec5,647e14799b46b0e21c3c5ce1,6489a53834502852708eec16,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5faac85e364c744c43a54ec5&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a53834502852708eec16,None,d2ff656e-236a-4958-81c3-135a873e5ab7,1,18,2,31,3,32,4,303,7,109,5,419,,185,17288,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-06-14 12:36:25.617556,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,63db6fc95731ea1965e7efeb,,,-2,1,-1,-1,-3,-2,-1,-2,-1,-1,1,-3,-2,-3,-2,8,15,6,13,,12,17,21,,109,1m:49s,AnonymousUser,63db6fc95731ea1965e7efeb,647e14799b46b0e21c3c5ce1,6489a6282780e0503e0a14c5,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=63db6fc95731ea1965e7efeb&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=6489a6282780e0503e0a14c5,None,56adc191-eb61-48f9-b2b0-ea0aea8abf76,1,8,2,23,3,30,4,68,6,51,5,93,,81,17289,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
