username,rejected,email,nickname,created,study,study_name,question14_item1,prolific_id,prolific_reminder,question1,Q_sku_1,Q_sku_2,Q_sku_3,Q_vic_1,Q_vic_2,Q_vic_3,Q_met_1,Q_met_2,Q_met_3,Q_mus_1,question1,Q_mus_2,Q_mus_3,Q_spa_1,Q_spa_2,Q_spa_3,rt_general info,rt_demographics,rt_intro_to_mem_qs,"rt_Skull Evolution Filter, memory questions","rt_Victorian High Street Filter, memory questions","rt_Science Experiment Filter, memory questions","rt_Reflections of an Artist Filter, memory questions","rt_Satellite Launcher Filter, memory questions",survey_page_changed_to_general info,duration_seconds,duration_readable,user_at_start,PROLIFIC_PID,STUDY_ID,SESSION_ID,study_url,order_general info,survey_page_changed_to_demographics,order_demographics,survey_page_changed_to_intro_to_mem_qs,order_intro_to_mem_qs,"survey_page_changed_to_Reflections of an Artist Filter, memory questions","order_Reflections of an Artist Filter, memory questions","survey_page_changed_to_Skull Evolution Filter, memory questions","order_Skull Evolution Filter, memory questions","survey_page_changed_to_Science Experiment Filter, memory questions","order_Science Experiment Filter, memory questions","survey_page_changed_to_Victorian High Street Filter, memory questions","order_Victorian High Street Filter, memory questions","survey_page_changed_to_Satellite Launcher Filter, memory questions",internal_id,survey_page_changed_to_demographics_1,rt_demographics_1,survey_page_changed_to_intro_to_mem_qs_1,rt_intro_to_mem_qs_1,"order_Satellite Launcher Filter, memory questions",rt_general info_1,"survey_page_changed_to_Skull Evolution Filter, memory questions_1","rt_Skull Evolution Filter, memory questions_1","survey_page_changed_to_Science Experiment Filter, memory questions_1","rt_Science Experiment Filter, memory questions_1","survey_page_changed_to_Satellite Launcher Filter, memory questions_1","rt_Satellite Launcher Filter, memory questions_1","survey_page_changed_to_Victorian High Street Filter, memory questions_1","rt_Victorian High Street Filter, memory questions_1",pageNumber,order_general info_1,testxr_participant_id,testxr_uuid,rt_general info_1_2,"order_Skull Evolution Filter, memory questions_1"
﻿,0,,,2023-05-10 10:32:47.738126,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,6140817ff93b30c0c188e259,,,1,-3,-2,1,1,-2,1,-2,-3,,,1,-3,,-2,-2,16,9,7,18,23,18,28,,,144,2m:24s,AnonymousUser,6140817ff93b30c0c188e259,64413beb7a2d6b000b31e13a,645b64a6c7a245a5d4c3552d,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=6140817ff93b30c0c188e259&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b64a6c7a245a5d4c3552d,1,16,2,25,3,32,4,60,5,78,6,96,7,119,14896,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 10:33:57.090162,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,63d6435f240685a6c2740bc0,,,,1,1,-3,1,-2,,1,1,-2,,1,-2,1,1,-3,10,13,2,47,80,29,,80,,326,5m:26s,AnonymousUser,63d6435f240685a6c2740bc0,64413b954466c8a7f2cb51d1,645b64e7c7f20f97e1991307,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=63d6435f240685a6c2740bc0&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b64e7c7f20f97e1991307,1,10,2,23,3,268,,112,5,239,7,32,4,159,14897,25,3,28,4,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 10:42:23.655000,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,6401c530f122958ec62a5586,,,1,1,-1,-2,1,-2,1,1,1,1,,1,-1,1,-2,-3,6,5,7,,23,20,25,37,,145,2m:25s,AnonymousUser,6401c530f122958ec62a5586,64413b954466c8a7f2cb51d1,645b66f399282e78b623d882,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=6401c530f122958ec62a5586&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b66f399282e78b623d882,1,6,2,11,3,55,5,123,,103,7,80,6,18,14898,,,,,4,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 10:44:03.073094,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,62c6ad01d7ad711abdf2eb4c,,,1,1,-2,-2,1,-2,1,1,1,1,,-2,1,-2,1,-1,6,9,4,19,,17,36,22,,132,2m:12s,AnonymousUser,62c6ad01d7ad711abdf2eb4c,64413b04f9885d4cc8821c4a,645b67581ae1e41132dfd7f8,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=62c6ad01d7ad711abdf2eb4c&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b67581ae1e41132dfd7f8,1,6,2,15,3,19,4,55,5,74,6,113,,91,14899,,,,,7,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 10:45:22.790017,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,,,,1,-3,1,1,-1,-2,-2,-1,1,1,,1,1,-1,1,1,12,10,2,48,34,,12,17,,145,2m:25s,AnonymousUser,5e5ecacb98079209c7b8f685,64413beb7a2d6b000b31e13a,645b6795e948e4d3dd1493dd,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=5e5ecacb98079209c7b8f685&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b6795e948e4d3dd1493dd,1,12,2,22,3,72,5,24,4,135,,101,7,84,14900,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 10:45:38.184493,cb4df694-2d07-4a21-9ee7-8024213990a4,instagram_1month_MIL__flat,1,6411f6fa47ecc7439d8a157a,,,-1,1,1,-1,1,-2,-2,-2,1,-2,,1,-1,1,1,-2,21,9,4,62,24,23,37,,,209,3m:29s,AnonymousUser,6411f6fa47ecc7439d8a157a,64413beb7a2d6b000b31e13a,645b67a2ec12daa3165661e8,https://testxr.org/projects/survey/prolific/cb4df694-2d07-4a21-9ee7-8024213990a4/?PROLIFIC_PID=6411f6fa47ecc7439d8a157a&STUDY_ID=64413beb7a2d6b000b31e13a&SESSION_ID=645b67a2ec12daa3165661e8,1,21,2,30,3,97,5,35,4,158,7,134,6,182,14901,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 10:48:47.598076,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,60ec74eb9bb5da925a42f586,,,1,1,1,-3,1,-2,-1,1,1,1,,-1,-3,1,-2,-3,8,8,1,36,34,37,39,,,258,4m:18s,AnonymousUser,60ec74eb9bb5da925a42f586,64413b04f9885d4cc8821c4a,645b686875533cd21de7e565,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=60ec74eb9bb5da925a42f586&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b686875533cd21de7e565,1,8,2,16,3,91,6,17,4,53,5,130,7,164,14902,,,,,,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 10:51:06.286904,734050eb-a8ba-4835-a715-85d8d3aafc3f,instagram_1month_MIL__ar,1,63ea9b916b02e5869130d348,,,-2,1,-2,-3,1,-2,1,-3,1,-2,,-3,-3,1,-2,-3,23,6,5,22,23,20,,31,,156,2m:36s,AnonymousUser,63ea9b916b02e5869130d348,64413b04f9885d4cc8821c4a,645b68e86fc5be6f35dfd7b8,https://testxr.org/projects/survey/prolific/734050eb-a8ba-4835-a715-85d8d3aafc3f/?PROLIFIC_PID=63ea9b916b02e5869130d348&STUDY_ID=64413b04f9885d4cc8821c4a&SESSION_ID=645b68e86fc5be6f35dfd7b8,1,23,2,29,3,130,,108,7,88,6,65,5,34,14903,,,,,4,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 10:56:45.355748,f2ab4f39-e80c-424a-8bb8-f92d669e6928,instagram_1month_MIL__underserved_flat,1,62ebe597372fdef388b734b3,,,1,1,-1,-3,1,-2,1,1,1,-2,,1,1,-1,1,-3,13,12,3,25,,19,27,22,,144,2m:24s,AnonymousUser,62ebe597372fdef388b734b3,64413b954466c8a7f2cb51d1,645b6a498d4c5df99db75156,https://testxr.org/projects/survey/prolific/f2ab4f39-e80c-424a-8bb8-f92d669e6928/?PROLIFIC_PID=62ebe597372fdef388b734b3&STUDY_ID=64413b954466c8a7f2cb51d1&SESSION_ID=645b6a498d4c5df99db75156,1,13,2,25,3,94,7,28,4,53,5,121,,72,14904,,,,,6,,,,,,,,,,,,,,,
﻿,0,,,2023-05-10 11:01:13.503082,6402810e-3a44-45d9-8e01-a30867378455,instagram_1month_MIL__underserved_ar,1,63d7a79e2606216262545e75,,,-2,-1,1,1,1,1,1,1,1,-3,,-2,-3,-1,-2,-2,6,9,2,17,,45,30,16,,145,2m:25s,AnonymousUser,63d7a79e2606216262545e75,64413a0d54e71805ea2a1795,645b6b5cac594246f0dc93d4,https://testxr.org/projects/survey/prolific/6402810e-3a44-45d9-8e01-a30867378455/?PROLIFIC_PID=63d7a79e2606216262545e75&STUDY_ID=64413a0d54e71805ea2a1795&SESSION_ID=645b6b5cac594246f0dc93d4,1,6,2,15,3,96,7,62,5,17,4,126,,79,14905,,,,,6,,,,,,,,,,,,,,,
